tank_id,t_is,h_valve,t_valve,t_set,t_min,t_max,time_index,month
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 09:22:51,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 09:39:22,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 09:53:41,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 10:03:37,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 10:06:55,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 10:32:16,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 10:33:22,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 10:38:53,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 10:55:26,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 11:13:07,September
97,22.3,0.0,1.0,22,21.5,22.5,2022-09-28 11:14:13,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 11:16:25,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 11:28:33,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 11:37:23,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 11:40:41,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 12:01:37,September
97,22.2,0.0,0.0,22,21.5,22.5,2022-09-28 12:24:46,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 12:42:24,September
97,22.3,0.0,1.0,22,21.5,22.5,2022-09-28 12:45:42,September
97,22.2,0.0,1.0,22,21.5,22.5,2022-09-28 12:47:54,September
97,22.1,0.0,1.0,22,21.5,22.5,2022-09-28 12:56:44,September
97,22.0,0.0,1.0,22,21.5,22.5,2022-09-28 13:01:09,September
97,22.0,0.0,0.0,22,21.5,22.5,2022-09-28 13:06:40,September
97,22.1,0.0,0.0,22,21.5,22.5,2022-09-28 13:30:56,September
