"time","tank_id","t_is","h_valve","t_valve"
"2022-10-01 07:24:07+00",96,"15.3",NULL,"1"
"2022-10-01 07:26:20+00",96,"15.2",NULL,"1"
"2022-10-01 07:27:26+00",96,"15",NULL,"0"
"2022-10-01 07:28:32+00",96,"14.7",NULL,"0"
"2022-10-01 07:28:32+00",96,NULL,1,NULL
"2022-10-01 07:29:38+00",96,"14.6",NULL,"0"
"2022-10-01 07:31:50+00",96,"14.8",NULL,"0"
"2022-10-01 07:32:57+00",96,"15",NULL,"0"
"2022-10-01 07:34:03+00",96,NULL,0,NULL
"2022-10-01 07:34:03+00",96,"15.1",NULL,"0"
"2022-10-01 07:35:09+00",96,"15.2",NULL,"0"
"2022-10-01 07:36:16+00",96,"15.3",NULL,"1"
"2022-10-01 07:38:28+00",96,"14.9",NULL,"0"
"2022-10-01 07:39:34+00",96,"14.7",NULL,"0"
"2022-10-01 07:39:34+00",96,NULL,1,NULL
"2022-10-01 07:41:47+00",96,"14.8",NULL,"0"
"2022-10-01 07:42:53+00",96,"14.9",NULL,"0"
"2022-10-01 07:43:59+00",96,NULL,0,NULL
"2022-10-01 07:43:59+00",96,"15",NULL,"0"
"2022-10-01 07:45:05+00",96,"15.2",NULL,"0"
"2022-10-01 07:46:11+00",96,"15.3",NULL,"1"
"2022-10-01 07:48:23+00",96,"15.2",NULL,"1"
"2022-10-01 07:49:29+00",96,"14.9",NULL,"0"
"2022-10-01 07:50:35+00",96,"14.6",NULL,"0"
"2022-10-01 07:50:35+00",96,NULL,1,NULL
"2022-10-01 07:51:41+00",96,"14.5",NULL,"0"
"2022-10-01 07:52:48+00",96,"14.6",NULL,"0"
"2022-10-01 07:53:54+00",96,"14.7",NULL,"0"
"2022-10-01 07:55:00+00",96,"14.9",NULL,"0"
"2022-10-01 07:56:06+00",96,"15",NULL,"0"
"2022-10-01 07:57:12+00",96,NULL,0,NULL
"2022-10-01 07:57:12+00",96,"15.1",NULL,"0"
"2022-10-01 07:58:18+00",96,"15.2",NULL,"0"
"2022-10-01 07:59:24+00",96,"15.3",NULL,"1"
"2022-10-01 08:01:36+00",96,"15.2",NULL,"1"
"2022-10-01 08:02:42+00",96,"14.9",NULL,"0"
"2022-10-01 08:03:48+00",96,NULL,1,NULL
"2022-10-01 08:03:48+00",96,"14.7",NULL,"0"
"2022-10-01 08:06:01+00",96,"14.8",NULL,"0"
"2022-10-01 08:07:07+00",96,"15",NULL,"0"
"2022-10-01 08:08:13+00",96,NULL,0,NULL
"2022-10-01 08:08:13+00",96,"15.1",NULL,"0"
"2022-10-01 08:09:19+00",96,"15.3",NULL,"1"
"2022-10-01 08:12:37+00",96,"15",NULL,"1"
"2022-10-01 08:13:43+00",96,"14.8",NULL,"0"
"2022-10-01 08:14:49+00",96,"14.7",NULL,"0"
"2022-10-01 08:14:49+00",96,NULL,1,NULL
"2022-10-01 08:17:01+00",96,"14.8",NULL,"0"
"2022-10-01 08:18:07+00",96,"15",NULL,"0"
"2022-10-01 08:19:13+00",96,"15.1",NULL,"0"
"2022-10-01 08:19:13+00",96,NULL,0,NULL
